,gene,pvalue,chromosome
211,id1001186,5.256245820184003e-09,ch-1
212,id1001187,0.0004545505795803005,ch-1
213,id1001194,2.815966478649731e-05,ch-1
214,id1001200,0.059430653510674177,ch-1
215,id1001206,0.08885688945339223,ch-1
216,id1001209,1.9239748580850646e-07,ch-1
217,id1001213,1.703113287294711e-05,ch-1
218,id1001218,5.970271727575878e-10,ch-1
219,id1001224,0.2240012789002722,ch-1
220,id1001229,4.921692241343663e-10,ch-1
221,id1001235,0.2240012789002722,ch-1
222,id1001247,0.0012763349448527202,ch-1
223,id1001256,1.9199331900861626e-05,ch-1
224,id1001262,1.4825136128072342e-12,ch-1
225,id1001266,1.2203075923466302e-17,ch-1
226,id1001274,1.8671756041586485e-05,ch-1
227,id1001275,0.03265708076605383,ch-1
228,id1001276,1.9357158739661514e-19,ch-1
229,id1001277,0.021550851480784918,ch-1
230,id1001278,3.4809207667842235e-06,ch-1
231,id1001280,5.226360335177318e-06,ch-1
232,ud1000087,3.2301669072996614e-09,ch-1
233,ud1000097,0.0008935960780322511,ch-1
234,id1001284,4.113847915927678e-06,ch-1
235,id1001285,2.1086454611324947e-06,ch-1
236,id1001286,3.8080799076361615e-12,ch-1
237,id1001287,5.639794121180776e-206,ch-1
238,id1001290,0.4084576174206279,ch-1
239,id1001291,6.433354355221305e-06,ch-1
240,id1001296,0.24794094831091146,ch-1
241,id1001298,0.014478516615469585,ch-1
242,id1001301,0.006529335140518462,ch-1
243,id1001307,8.362228040535857e-207,ch-1
244,id1001318,0.0010166001320709326,ch-1
245,id1001320,0.11162687790602832,ch-1
246,id1001325,1.0456887084599927e-05,ch-1
247,id1001332,3.0191829202300077e-18,ch-1
248,id1001340,7.909006920860008e-07,ch-1
249,ud1000100,0.0007421835501431184,ch-1
250,id1001354,0.016147246600478463,ch-1
251,id1001356,2.284740248306426e-14,ch-1
252,id1001357,0.7705639214787046,ch-1
253,id1001366,6.988281492336068e-17,ch-1
254,id1001368,0.024967834102578013,ch-1
255,id1001370,2.58632081652163e-12,ch-1
256,id1001376,0.022511302494084978,ch-1
257,id1001377,4.780586139469197e-224,ch-1
258,id1001378,0.005041489375773375,ch-1
259,id1001383,2.100929711580346e-07,ch-1
260,id1001389,0.7032570247348848,ch-1
261,id1001395,3.923142573190806e-07,ch-1
262,id1001396,0.008581988868904789,ch-1
263,id1001420,1.3077614762063694e-06,ch-1
264,id1001423,0.01774368543551593,ch-1
265,id1001428,7.998274784468538e-13,ch-1
266,id1001430,1.3224964027238779e-14,ch-1
267,id1001432,2.4257873094870797e-06,ch-1
268,id1001436,1.6276190934698776e-06,ch-1
269,id1001437,0.012504298314207199,ch-1
270,id1001452,1.0042798217202338e-06,ch-1
271,id1001454,1.3077614762063694e-06,ch-1
272,id1001458,2.0267382811489404e-09,ch-1
273,id1001464,4.119444201636199e-09,ch-1
274,id1001465,0.03126624007519774,ch-1
275,id1001478,4.057749624963946e-15,ch-1
276,id1001483,6.334779255179636e-08,ch-1
277,id1001487,0.00014548859406464615,ch-1
278,id1001500,0.10863610047471496,ch-1
279,id1001509,1.7734175283452027e-06,ch-1
280,id1001516,0.10934914091112871,ch-1
281,id1001539,3.0366356699108495e-07,ch-1
282,id1001542,3.2022677999003815e-05,ch-1
283,id1001566,0.3554390733395427,ch-1
284,id1001572,3.0478809941341653e-13,ch-1
285,id1001588,2.452322596583702e-07,ch-1
286,id1001591,2.4681504343433036e-17,ch-1
287,id1001599,3.08441471426819e-09,ch-1
288,id1001602,0.15808136436985631,ch-1
289,wd1000121,3.36955603839258e-06,ch-1
290,id1001633,9.618911197689667e-06,ch-1
291,id1001636,1.0166250336971917e-05,ch-1
292,id1001638,1.0656621290400807e-09,ch-1
293,id1001645,0.1484573091575035,ch-1
294,id1001655,0.10754420332295185,ch-1
295,id1001662,0.18874821640234543,ch-1
296,id1001664,8.466321247351464e-06,ch-1
297,id1001665,9.14804315311248e-06,ch-1
298,id1001677,0.0014030029503845323,ch-1
299,id1001678,3.085651354152102e-05,ch-1
300,id1001680,0.001627844205946905,ch-1
301,id1001681,0.0013906890343693675,ch-1
302,id1001685,8.192512495546693e-12,ch-1
303,id1001688,0.2167598820587085,ch-1
304,id1001692,0.5570717021201577,ch-1
305,id1001700,1.419880824310812e-05,ch-1
306,id1001703,4.6487478546193494e-05,ch-1
307,id1001709,2.8649007442165695e-05,ch-1
308,id1001713,3.052029675838257e-10,ch-1
309,id1001714,0.07530297468912743,ch-1
310,id1001715,3.680147668711153e-05,ch-1
311,id1001716,7.876540886523016e-10,ch-1
312,id1001728,0.017068062871598608,ch-1
313,id1001729,4.589339360817762e-06,ch-1
314,id1001731,9.867577190915755e-06,ch-1
315,id1001734,0.9490084223284516,ch-1
316,id1001735,0.05867723857624174,ch-1
317,wd1000146,0.0009203079361390298,ch-1
318,wd1000174,0.00015476094341299184,ch-1
319,wd1000189,7.200651300896425e-12,ch-1
320,id1001740,1.4862006875771643e-09,ch-1
321,id1001742,0.0010910948262790497,ch-1
322,id1001748,0.0011699246509907022,ch-1
323,id1001754,0.0003416833319800098,ch-1
324,id1001764,1.8531391547386014e-08,ch-1
325,id1001768,1.6518339211341084e-10,ch-1
326,id1001775,0.0003769053798423399,ch-1
327,id1001779,0.002241519811067134,ch-1
328,id1001791,0.001960127589849539,ch-1
329,id1001795,0.0004972773032130354,ch-1
330,id1001798,2.8395998244706354e-10,ch-1
331,id1001810,5.997540488307058e-15,ch-1
332,id1001811,0.0063591034147749284,ch-1
333,id1001814,0.0028678491916604475,ch-1
334,id1001821,0.00022155764281132104,ch-1
335,id1001823,8.68453626514321e-09,ch-1
336,id1001839,9.053025289927314e-09,ch-1
337,id1001843,3.263912716407426e-05,ch-1
338,id1001845,2.2569949621369286e-11,ch-1
339,id1001849,6.397126305024666e-11,ch-1
340,id1001851,0.0022643992447302437,ch-1
341,id1001855,6.283611996433457e-11,ch-1
342,ud1000129,0.27413164012699465,ch-1
343,ud1000132,0.022678886241413367,ch-1
344,id1001857,6.397126305024666e-11,ch-1
345,id1001858,0.9735982489310023,ch-1
346,id1001864,6.418964275748736e-06,ch-1
347,id1001870,0.00018208717605523817,ch-1
348,id1001876,0.0166621817642721,ch-1
349,id1001887,2.095768529695735e-08,ch-1
350,id1001891,4.1025699212405426e-11,ch-1
351,id1001895,0.17193899964098172,ch-1
352,id1001896,1.2690835302165707e-06,ch-1
353,id1001899,8.77902142359973e-05,ch-1
354,id1001905,0.00011929799793147656,ch-1
355,id1001914,0.993833248682723,ch-1
356,id1001915,0.00015910356698522582,ch-1
357,id1001916,0.8934874065389722,ch-1
358,id1001924,0.1919442324593154,ch-1
359,id1001927,0.27956727106959345,ch-1
360,id1001936,0.0004791267167364003,ch-1
361,wd1000197,0.005222047032211574,ch-1
362,id1001981,0.12375488882067191,ch-1
363,id1002025,0.018569035596383288,ch-1
364,id1002029,9.441359316239563e-05,ch-1
365,id1002033,0.06780281758320969,ch-1
366,id1002045,6.545951476744022e-05,ch-1
367,id1002048,4.646627910011084e-07,ch-1
368,id1002058,0.10052256472492625,ch-1
369,id1002060,0.016380931506625635,ch-1
370,id1002076,6.868874462231256e-05,ch-1
371,id1002080,0.47693484660978713,ch-1
372,id1002081,0.6112879566024376,ch-1
373,id1002087,0.24432845484140533,ch-1
374,id1002097,0.1660307289648338,ch-1
375,id1002108,3.2760914181781613e-09,ch-1
376,id1002120,0.005024136896331367,ch-1
377,id1002122,0.0003531994716554406,ch-1
378,id1002126,1.9879653827868776e-05,ch-1
379,id1002128,2.7481792321502493e-07,ch-1
380,id1002143,0.07866383492149988,ch-1
381,id1002146,0.03627655053218182,ch-1
382,id1002149,0.08618507218124452,ch-1
383,id1002151,0.09054102916500281,ch-1
384,id1002153,0.021549493106923258,ch-1
385,id1002158,0.0007000583456746853,ch-1
386,id1002159,0.143411600026775,ch-1
387,id1002163,8.825948926822779e-07,ch-1
388,id1002165,0.6045489651052289,ch-1
389,id1002167,7.080748972261524e-178,ch-1
390,id1002176,5.591869762829535e-07,ch-1
391,ud1000149,1.503187726888305e-07,ch-1
392,id1002184,9.609520766130757e-07,ch-1
393,id1002198,0.2998701453231154,ch-1
394,id1002201,4.954981134972259e-174,ch-1
395,ud1000154,3.960873457362969e-05,ch-1
396,id1002215,0.005836861714314203,ch-1
397,id1002218,0.17356199907811198,ch-1
398,id1002227,1.9101512667661115e-15,ch-1
399,id1002236,4.469049844329321e-233,ch-1
400,id1002237,2.2124098779942348e-08,ch-1
401,id1002266,0.0036901227315494314,ch-1
402,id1002267,0.864549132159819,ch-1
403,id1002277,0.45047937382960346,ch-1
404,id1002284,0.00019297794765950295,ch-1
405,id1002298,0.09803883668791688,ch-1
406,id1002300,4.827048647115909e-05,ch-1
407,id1002308,0.003235631066020811,ch-1
408,id1002311,2.5885407105854806e-12,ch-1
409,id1002315,4.3576214330415706e-10,ch-1
410,id1002317,0.9573992100787319,ch-1
411,id1002330,5.566380663193116e-13,ch-1
412,id1002331,2.0318756111334445e-10,ch-1
413,id1002334,1.683489810895461e-09,ch-1
414,id1002336,0.03878984095471897,ch-1
415,id1002362,0.058100514774300914,ch-1
416,id1002366,5.935816538745029e-14,ch-1
417,id1002368,3.1362797958334866e-14,ch-1
418,id1002370,4.90973360527687e-05,ch-1
419,id1002371,0.0891917413065927,ch-1
420,id1002373,7.923573036904035e-08,ch-1
421,id1002395,1.3271708315552377e-07,ch-1
422,id1002406,0.03148588610335599,ch-1
423,id1002416,1.0218747988880381e-11,ch-1
424,id1002420,0.09177134758365456,ch-1
425,ud1000186,3.0285781907195286e-11,ch-1
426,ud1000187,8.226185652065181e-11,ch-1
427,id1002426,6.608316841303055e-09,ch-1
428,id1002431,1.3455464935669864e-08,ch-1
429,id1002446,1.3980069720973358e-09,ch-1
430,id1002452,0.05009787666872112,ch-1
431,id1002456,2.0062019620365464e-09,ch-1
432,id1002477,0.45542365284490005,ch-1
433,id1002490,0.08250611973521503,ch-1
434,ud1000189,0.05393618826984455,ch-1
435,ud1000190,0.19548725827595112,ch-1
436,id1002494,0.09709385438065608,ch-1
437,id1002495,1.044036944765134e-08,ch-1
438,id1002498,1.6581993709953713e-09,ch-1
439,id1002509,0.5312920040624111,ch-1
440,id1002518,4.1008575661999095e-09,ch-1
441,id1002529,3.913861898650839e-12,ch-1
442,id1002531,6.587892202628519e-12,ch-1
443,id1002535,0.010696125784548987,ch-1
444,id1002547,0.7334865159251978,ch-1
445,id1002572,0.8997602296736017,ch-1
446,id1002622,0.014652889831678492,ch-1
447,id1002625,7.365011774196693e-10,ch-1
448,id1002635,7.138332041866295e-10,ch-1
449,id1002641,0.40024431091713963,ch-1
450,id1002647,1.5785312504820313e-06,ch-1
451,id1002671,9.354199333829079e-08,ch-1
452,id1002705,5.059383296724097e-10,ch-1
453,id1002728,5.995608769412351e-10,ch-1
454,id1002730,1.1435928017134069e-09,ch-1
455,id1002732,7.913683478836062e-10,ch-1
456,id1002745,0.05669255609342602,ch-1
457,id1002749,0.7927512635736284,ch-1
458,id1002759,0.00048517019598084103,ch-1
459,id1002760,0.049462553833694516,ch-1
460,id1002770,5.169953449149677e-05,ch-1
461,id1002773,4.139602659924495e-06,ch-1
462,id1002774,1.017896387374319e-05,ch-1
463,id1002776,9.623213708951851e-05,ch-1
464,id1002788,0.704311909988949,ch-1
465,id1002793,8.205504859734568e-06,ch-1
466,id1002809,6.926567472040011e-09,ch-1
467,id1002825,7.40374404624298e-06,ch-1
468,id1002826,7.093230338059043e-05,ch-1
469,id1002832,2.1768421605320527e-09,ch-1
470,id1002833,0.00023894885697696812,ch-1
471,id1002838,0.00013473533257377636,ch-1
472,id1002840,4.863063535070653e-21,ch-1
473,id1002842,0.00051199127124949,ch-1
474,id1002845,0.6329813287951522,ch-1
475,id1002847,0.23451300062957414,ch-1
476,id1002852,3.8779267935342426e-17,ch-1
477,id1002856,0.00031240703001222177,ch-1
478,id1002857,2.0809056159984674e-07,ch-1
479,id1002859,2.0927121517231585e-20,ch-1
480,id1002863,1.3405382762671478e-07,ch-1
481,id1002864,1.4966583178069243e-05,ch-1
482,id1002871,5.684704007126322e-05,ch-1
483,id1002873,6.300097776260677e-23,ch-1
484,id1002875,0.005479888094791979,ch-1
485,id1002878,0.00022212210407871694,ch-1
486,id1002880,0.0001231986177271206,ch-1
487,id1002888,1.9014316844383367e-22,ch-1
488,id1002889,0.027015767181365214,ch-1
489,id1002892,0.04061463958880287,ch-1
490,id1002896,5.795406455887642e-08,ch-1
491,id1002897,0.005139746918214374,ch-1
492,id1002899,4.767442096530789e-08,ch-1
493,id1002902,5.350991631491067e-24,ch-1
494,id1002906,0.0006054960029595492,ch-1
495,id1002908,0.0005560850562752536,ch-1
496,id1002912,3.151138317453728e-26,ch-1
497,id1002919,4.0160894961183056e-21,ch-1
498,id1002920,5.18840071732891e-25,ch-1
499,id1002928,1.721177953569918e-15,ch-1
500,id1002930,5.429824262589379e-09,ch-1
501,id1002931,2.4164035200767855e-176,ch-1
502,id1002936,4.253411738567458e-08,ch-1
503,id1002940,0.0053017473704286295,ch-1
504,id1002941,0.0003417704616088573,ch-1
505,id1002947,0.000917184992683723,ch-1
506,id1002962,3.4948274928357486e-09,ch-1
507,id1002966,2.019983091414169e-09,ch-1
508,id1002979,1.53576881173335e-05,ch-1
509,id1002985,5.899738776299357e-25,ch-1
510,id1002991,0.003593844481967451,ch-1
511,id1003008,4.3317508779475296e-23,ch-1
512,id1003019,0.04244607588038278,ch-1
513,id1003026,3.6073761161264092e-06,ch-1
514,id1003036,8.553251208064633e-10,ch-1
515,id1003037,2.5456341131407445e-06,ch-1
516,id1003043,0.0050303767968169835,ch-1
517,id1003050,2.0928688047675015e-24,ch-1
518,id1003056,5.393517938955778e-16,ch-1
519,id1003064,3.6618576784900675e-06,ch-1
520,id1003089,1.0124481683737897e-13,ch-1
521,id1003092,0.005546547805801246,ch-1
522,id1003093,1.1060432368781077e-11,ch-1
523,id1003094,0.61508479138125,ch-1
524,id1003102,1.5403985977966716e-07,ch-1
525,id1003108,0.001889119424776958,ch-1
526,id1003111,0.010930943060137421,ch-1
527,id1003112,0.0004313967192796679,ch-1
528,id1003114,1.0923870082824013e-13,ch-1
529,id1003115,0.7279344171810014,ch-1
530,id1003126,0.00017561377981266502,ch-1
531,id1003132,3.6375521978292415e-15,ch-1
532,id1003138,5.462772356656433e-15,ch-1
533,id1003144,0.6348997563723628,ch-1
534,id1003156,1.8090621634792417e-14,ch-1
535,id1003157,4.995551979250677e-15,ch-1
536,id1003163,1.0398395027188435e-10,ch-1
537,id1003164,9.817995962909194e-06,ch-1
538,id1003168,1.5685283926125373e-14,ch-1
539,id1003170,1.7267170660312042e-14,ch-1
540,id1003171,5.280639591576544e-16,ch-1
541,id1003182,3.919602235555917e-17,ch-1
542,id1003191,1.5694542305205036e-12,ch-1
543,id1003193,0.5993366046323955,ch-1
544,id1003200,1.5600646968929594e-14,ch-1
545,id1003213,2.091189532143542e-15,ch-1
546,ud1000229,1.1784830882345739e-14,ch-1
547,id1003225,4.831848432164389e-13,ch-1
548,id1003237,1.0001782017204449e-16,ch-1
549,id1003245,1.908133271439094e-16,ch-1
550,id1003248,2.2074181584221263e-06,ch-1
551,id1003249,0.0001987603819256453,ch-1
552,id1003251,1.8849532074252933e-17,ch-1
553,id1003252,6.316687616375065e-07,ch-1
554,id1003253,8.119140583618413e-15,ch-1
555,id1003255,7.204056690141976e-15,ch-1
556,id1003256,1.1567747219746265e-11,ch-1
557,id1003260,9.022763059214123e-09,ch-1
558,id1003261,1.4765278913057433e-11,ch-1
559,id1003269,5.899788651420597e-12,ch-1
560,id1003271,2.3134203837603342e-15,ch-1
561,id1003279,6.242537801989788e-08,ch-1
562,id1003293,6.413732495910843e-13,ch-1
563,id1003304,2.8666348864663575e-07,ch-1
564,id1003307,0.001087536499447861,ch-1
565,id1003312,0.7089647504542431,ch-1
566,id1003323,0.21638252134515162,ch-1
567,id1003325,2.3922641188597525e-11,ch-1
568,id1003336,0.02661027852481751,ch-1
569,id1003337,0.0014690301897247002,ch-1
570,id1003344,5.000035513900305e-15,ch-1
571,id1003345,0.006609635860753917,ch-1
572,id1003348,5.161286297014112e-14,ch-1
573,id1003359,2.885925547541727e-14,ch-1
574,id1003362,0.005382766996380705,ch-1
575,id1003363,2.9042255028755486e-05,ch-1
576,id1003368,0.7726206264844411,ch-1
577,id1003370,3.797033432694778e-12,ch-1
578,id1003372,7.250044306578986e-07,ch-1
579,id1003376,6.179214393469319e-05,ch-1
580,id1003383,0.004302663847210483,ch-1
581,id1003386,7.943283336285449e-13,ch-1
582,id1003396,0.03058823458137046,ch-1
583,id1003397,2.795973695080922e-13,ch-1
584,id1003399,1.210742340703773e-06,ch-1
585,id1003400,1.6800649602722271e-07,ch-1
586,id1003403,1.2129784615066016e-10,ch-1
587,id1003407,1.1193942737744826e-05,ch-1
588,id1003409,0.0018569793619667505,ch-1
589,id1003423,0.0005876486454714081,ch-1
590,id1003426,2.5362158014123242e-11,ch-1
591,id1003441,6.858839114634442e-16,ch-1
592,id1003447,0.002776280786093499,ch-1
593,id1003456,1.31654510761219e-12,ch-1
594,id1003465,4.206332552203913e-16,ch-1
595,id1003475,3.5036943743364706e-14,ch-1
596,id1003479,0.013773151157056258,ch-1
597,id1003483,2.7410494635446977e-11,ch-1
598,id1003487,9.190202453710962e-15,ch-1
599,id1003490,5.971168982095621e-06,ch-1
600,id1003496,1.8853151889658655e-06,ch-1
601,id1003500,7.418279181969395e-15,ch-1
602,id1003505,0.7824565766952464,ch-1
603,id1003509,3.4510512445860965e-11,ch-1
604,id1003517,8.645814537605735e-11,ch-1
605,id1003519,4.4999614965729634e-07,ch-1
606,id1003532,8.635139279117147e-16,ch-1
607,id1003538,0.023958417838131036,ch-1
608,id1003552,3.3299096739640045e-12,ch-1
609,id1003559,3.7927247465070226e-07,ch-1
610,id1003561,0.037032992703008555,ch-1
611,id1003562,4.882916802313171e-14,ch-1
612,id1003564,0.0001662935595043351,ch-1
613,id1003571,2.1851397341876631e-07,ch-1
614,id1003576,3.301041106052472e-08,ch-1
615,id1003578,1.119205706694902e-14,ch-1
616,id1003579,1.894771989310555e-15,ch-1
